silhouette,ch,db,ari,dataset,dr,algo,k
0.4468737244606018,4267.876793113573,1.0109408497414372,0.17910206510555712,wine,PCA,KMeans,2
0.4465761184692383,4262.392604370192,1.009419312641714,0.17889078321976817,wine,PCA,GMM,2
0.1482478380203247,6657.791688418596,1.5707053156759108,0.10288655077510486,adult,PCA,KMeans,4
0.31956803798675537,3217.5302321231516,2.7587692295575907,0.15538711755843598,adult,PCA,GMM,2
0.3192128837108612,1876.0408499031137,1.54238133488828,0.17886510216933882,wine,ICA,KMeans,2
0.2512188255786896,1176.578528210909,2.1623278080851094,0.13530150132071936,wine,ICA,GMM,2
0.13906924426555634,2721.711022769757,2.253562230374835,0.06283774025662192,adult,ICA,KMeans,8
0.08437539637088776,1921.1193989506396,2.9670912960224225,0.01888345044668323,adult,ICA,GMM,13
0.3153671324253082,2693.0191768796008,1.3170001254676913,0.1586788571392447,wine,RP,KMeans,2
0.317486971616745,2566.835151708634,1.347354565303876,0.1522729495818042,wine,RP,GMM,2
0.1905592381954193,7889.640816939083,1.322044390160146,0.12028590816044336,adult,RP,KMeans,4
0.21953141689300537,6954.945187211137,2.1339428452111364,0.307291361945303,adult,RP,GMM,2
