features,mode,acc,f1
KM hard labels,Augmented,0.9976923076923077,0.9630366483386361
KM hard labels,Replaced,0.44,0.21434542534956844
KM centroid distances,Augmented,0.9976923076923077,0.952731389871613
KM centroid distances,Replaced,0.5146153846153846,0.3140914412638706
EM posteriors,Augmented,0.9976923076923077,0.9352936957915696
EM posteriors,Replaced,0.4369230769230769,0.20604175960180882
