space,acc,f1,epochs,sec_per_ep
Raw (12),0.9976923076923077,0.952731389871613,125,0.09263550275916652
PCA (4),0.6,0.3835636242068296,134,0.1197161266244585
ICA (4),0.6076923076923076,0.391052786718977,122,0.1233721028156267
RP (4),0.64,0.4105037377821549,148,0.2171393976180601
