game_id,team_id,rest_days,is_back_to_back,games_in_last_5_days,current_win_pct,recent_form_5games
10300011,1610612737,-1,0,0,0.0,0.0
10300023,1610612737,2,0,1,0.5,0.5
10300042,1610612737,3,0,2,0.6666666666666666,0.6666666666666666
10300058,1610612737,3,0,1,0.5,0.5
10300073,1610612737,2,0,2,0.6,0.6
10300085,1610612737,2,0,2,0.6666666666666666,0.8
10300094,1610612737,2,0,2,0.7142857142857143,0.8
10300108,1610612737,2,0,2,0.625,0.6
20300006,1610612737,5,0,1,0.5555555555555556,0.6
20300024,1610612737,2,0,1,0.5,0.4
20300029,1610612737,1,1,2,0.45454545454545453,0.2
20300042,1610612737,2,0,3,0.5,0.2
20300060,1610612737,2,0,3,0.46153846153846156,0.2
20300084,1610612737,3,0,2,0.42857142857142855,0.2
20300089,1610612737,1,1,2,0.4666666666666667,0.4
20300102,1610612737,2,0,2,0.4375,0.4
20300109,1610612737,1,1,3,0.47058823529411764,0.4
20300128,1610612737,3,0,2,0.4444444444444444,0.4
20300141,1610612737,2,0,2,0.42105263157894735,0.4
20300147,1610612737,1,1,2,0.45,0.4
20300168,1610612737,3,0,2,0.42857142857142855,0.4
20300177,1610612737,1,1,3,0.45454545454545453,0.4
20300190,1610612737,2,0,2,0.43478260869565216,0.4
20300202,1610612737,2,0,3,0.4166666666666667,0.4
20300212,1610612737,2,0,2,0.44,0.4
20300224,1610612737,1,1,3,0.4230769230769231,0.4
20300243,1610612737,3,0,2,0.4074074074074074,0.2
20300259,1610612737,3,0,1,0.39285714285714285,0.2
20300273,1610612737,1,1,2,0.3793103448275862,0.2
20300293,1610612737,3,0,2,0.4,0.2
20300302,1610612737,1,1,3,0.3870967741935484,0.2
20300313,1610612737,2,0,2,0.375,0.2
20300321,1610612737,1,1,3,0.36363636363636365,0.2
20300340,1610612737,3,0,2,0.35294117647058826,0.2
20300351,1610612737,1,1,3,0.34285714285714286,0.0
20300365,1610612737,2,0,2,0.3333333333333333,0.0
20300371,1610612737,1,1,3,0.32432432432432434,0.0
20300393,1610612737,3,0,2,0.34210526315789475,0.2
20300406,1610612737,3,0,1,0.3333333333333333,0.2
20300417,1610612737,1,1,2,0.325,0.2
20300439,1610612737,3,0,2,0.34146341463414637,0.4
20300458,1610612737,3,0,1,0.3333333333333333,0.4
20300471,1610612737,1,1,2,0.3488372093023256,0.4
20300490,1610612737,3,0,2,0.3409090909090909,0.4
20300515,1610612737,3,0,1,0.3333333333333333,0.4
20300522,1610612737,1,1,2,0.32608695652173914,0.2
20300534,1610612737,3,0,2,0.3404255319148936,0.4
